DateTime,Active Energy,Inside Temperature,Outside Temperature,Difference Of Temperature,Inside Humidity,Outside Humidity,Difference Of Humidity,No Of People
2019-07-19 16:30:17,1.9375,28,24.54,3.46,42,44.04,2.04,79
2019-07-19 16:30:34,1.9375,28,24.54,3.46,42,44.04,2.04,79
2019-07-19 16:30:35,1.9375,28,24.54,3.46,42,43.84,1.84,79
2019-07-19 16:31:32,1.9375,28,24.54,3.46,42,43.84,1.84,79
2019-07-19 16:31:47,1.9375,28,24.54,3.46,42,43.84,1.84,79
2019-07-19 16:31:47,2,28,24.54,3.46,42,43.84,1.84,79
2019-07-19 16:32:16,2,28,24.44,3.56,42,44.5,2.5,79
2019-07-19 16:32:19,2,28,24.44,3.56,42,44.58,2.58,79
2019-07-19 16:32:27,2,28,24.48,3.52,42,44.58,2.58,79
2019-07-19 16:32:47,2,28,24.48,3.52,42,44.42,2.42,79
2019-07-19 16:33:19,2,28,24.48,3.52,42,44.42,2.42,79
2019-07-19 16:33:31,2,28,24.5,3.5,42,44.42,2.42,79
2019-07-19 16:33:31,1.875,28,24.5,3.5,42,44.42,2.42,79
2019-07-19 16:34:47,1.875,28,24.5,3.5,42,44.4,2.4,79
2019-07-19 16:34:47,1.8125,28,24.5,3.5,42,44.4,2.4,79
2019-07-19 16:35:17,1.8125,28,24.5,3.5,42,44.4,2.4,79
2019-07-19 16:35:47,1.8125,28,24.5,3.5,42,44.4,2.4,79
2019-07-19 16:36:33,1.8125,28,24.5,3.5,42,44.4,2.4,79
2019-07-19 16:36:43,1.8125,28,24.68,3.32,42,44,2,79
2019-07-19 16:37:13,1.75,28,24.68,3.32,42,44,2,79
2019-07-19 16:37:33,1.75,28,24.68,3.32,42,44,2,79
2019-07-19 16:37:33,1.9375,28,24.68,3.32,42,44.04,2.04,79
2019-07-19 16:37:35,1.9375,28,24.62,3.38,42,44.08,2.08,79
2019-07-19 16:37:36,1.9375,28,24.62,3.38,42,44.08,2.08,79
2019-07-19 16:38:17,1.9375,28,24.62,3.38,42,44.08,2.08,79
2019-07-19 16:38:47,1.9375,28,24.62,3.38,42,44.5,2.5,79
2019-07-19 16:38:47,1.875,28,24.62,3.38,42,44.32,2.32,79
2019-07-19 16:39:01,1.875,28,24.6,3.4,42,44.3,2.3,79
2019-07-19 16:39:46,1.875,28,24.6,3.4,42,44.3,2.3,79
2019-07-19 16:39:46,1.9375,28,24.6,3.4,42,44.3,2.3,79
2019-07-19 16:40:00,1.9375,28,24.68,3.32,42,44.3,2.3,79
2019-07-19 16:40:16,1.9375,28,24.68,3.32,42,44.12,2.12,79
2019-07-19 16:40:17,1.9375,28,24.72,3.28,42,44.16,2.16,79
2019-07-19 16:41:02,1.875,28,24.72,3.28,42,44.16,2.16,79
2019-07-19 16:41:33,1.875,28,24.72,3.28,42,44.16,2.16,79
2019-07-19 16:41:46,1.875,28,24.72,3.28,42,44.36,2.36,79
2019-07-19 16:41:50,1.875,28,24.72,3.28,42,44.36,2.36,79
2019-07-19 16:42:16,1.875,28,24.72,3.28,42,44.08,2.08,79
